Impact category,Amount (Normalized),Normalized Unit
Acidification,0.012387262680381279,mol H+-Eq/ref
Climate change,0.015593941934383088,kg CO2-Eq/ref
Climate change: biogenic,0.0,kg CO2-Eq/ref
Climate change: fossil,0.0,kg CO2-Eq/ref
Climate change: land use and land use change,0.0,kg CO2-Eq/ref
Ecotoxicity: freshwater,0.009883815161288816,CTUe/ref
"Ecotoxicity: freshwater, inorganics",0.0,CTUe/ref
"Ecotoxicity: freshwater, organics",0.0,CTUe/ref
Energy resources: non-renewable,0.019532117637619275,"MJ, net calorific value/ref"
Eutrophication: freshwater,0.027787843470053475,kg P-Eq/ref
Eutrophication: marine,0.00627060467182725,kg N-Eq/ref
Eutrophication: terrestrial,0.007030024909716652,mol N-Eq/ref
Human toxicity: carcinogenic,0.004237393107086301,CTUh/ref
"Human toxicity: carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: carcinogenic, organics",0.0,CTUh/ref
Human toxicity: non-carcinogenic,0.008822101292489339,CTUh/ref
"Human toxicity: non-carcinogenic, inorganics",0.0,CTUh/ref
"Human toxicity: non-carcinogenic, organics",0.0,CTUh/ref
Ionising radiation: human health,0.0015794935092009442,kBq U235-Eq/ref
Land use,0.0004223269607470755,dimensionless/ref
Material resources: metals/minerals,0.018714537559994925,kg Sb-Eq/ref
Ozone depletion,1.750579739649211e-05,kg CFC-11-Eq/ref
Particulate matter formation,0.025071652518973968,disease incidence/ref
Photochemical oxidant formation: human health,0.00908806983194384,kg NMVOC-Eq/ref
Water use,0.002752034376205329,m3 world Eq deprived/ref
