Flow,Unit,Amount,Direction
"printed wiring board production, for through-hole mounting, Pb free surface",m2,0.02475,Input
"Market for copper, cathode + market for zinc, primary + metal working, average for copper product manufacturing",kg,0.016,Input
"electric connector production, wire clamp",kg,0.00156,Input
"electric connector production, peripheral component interconnect buss",kg,0.009047160352,Input
"resistor, metal film type, through-hole mounting",kg,0.00044502,Input
"market for steel, chromium steel 18/8 + metal working, average for chromium steel product manufacturing",kg,0.00164785,Input
"mounting, through-hole technology, Pb-free solder",m2,0.02475,Input
"capacitor production, film type, for through-hole mounting",kg,0.2991084975,Input
"diode production, glass-, for through-hole mounting",kg,0.00025,Input
"electronic component production, active, unspecified",kg,0.6,Input
"transistor production, wired, big size, through-hole mounting",kg,0.01084,Input
"epoxy resin, liquid",kg,0.02536443,Input
